"","A","B","Appearance","Ethics","Intelligence","Kindness","Wealth","compatibility"
"1","Boar","Buck",99.0196078431373,66.6666666666667,100,83.3333333333333,100,88.7339346302523
"2","Boar","Bull",100,87.5,100,83.3333333333333,87.5,91.4043726001018
"3","Boar","Cob",99.5098039215686,66.6666666666667,100,83.3333333333333,87.5,86.4809165364426
"4","Boar","Cow",79.9019607843137,95.8333333333333,100,83.3333333333333,100,91.406810895317
"5","Boar","Doe",97.7272727272727,95.8333333333333,100,100,95.8333333333333,97.861032498383
"6","Boar","Dog",79.9019607843137,80,100,83.3333333333333,100,88.1643957984278
"7","Boar","Drake",97.7272727272727,80,100,83.3333333333333,100,91.7877880244675
"8","Boar","Duck",100,99.5098039215686,100,75.4901960784314,100,94.4389793474985
"9","Boar","Gander",79.5454545454545,44.4444444444444,100,58.3333333333333,100,72.9239070344512
"10","Boar","Goose",97.7272727272727,79.1666666666667,100,83.3333333333333,100,91.5957616806828
"11","Boar","Hen",62.5,100,100,100,100,91.028210151304
"12","Boar","Lioness",100,66.6666666666667,83.3333333333333,83.3333333333333,100,85.725346612584
"13","Boar","Mare",75,66.6666666666667,100,83.3333333333333,100,83.9378327485388
"14","Boar","Pen",99.5098039215686,87.5,100,100,100,97.2690747353297
"15","Boar","Ram",97.7272727272727,93.3333333333333,100,79.1666666666667,100,93.695553906036
"16","Boar","Rooster",99.5098039215686,67.3202614379085,100,100,100,92.3001342860976
"17","Boar","Tigress",100,87.5,100,100,100,97.3647180615168
"18","Boar","Whale",99.5098039215686,80,83.3333333333333,100,100,92.1202106283362
"19","Buck","Boar",99.0196078431373,66.6666666666667,100,83.3333333333333,100,88.7339346302523
"20","Buck","Bull",75,83.3333333333333,100,100,75,85.938596379374
"21","Buck","Cob",83.3333333333333,90,87.5,90,75,84.9717607950878
"22","Buck","Cow",70,80.7692307692308,75.4901960784314,90,100,82.5839040836751
"23","Buck","Doe",91.6666666666667,80.7692307692308,100,83.3333333333333,91.6666666666667,89.2272515675354
